candidate_label,name,party,cluster,avg_sentiment
Alexandra Dessoy (C),Alexandra Dessoy,C,0,-0.0611111111111111
Anders Storgaard (C),Anders Storgaard,C,3,-0.1606060606060606
Ane Rolsted (C),Ane Rolsted,C,0,-0.0611111111111111
Anne Eggen (Ø),Anne Eggen,Ø,0,-0.0611111111111111
Anne Eskildsen (B),Anne Eskildsen,B,0,-0.0611111111111111
Annedorthe Kring (Å),Annedorthe Kring,Å,0,-0.1238095238095238
Asbjørn Dalgaard (A),Asbjørn Dalgaard,A,1,-0.0816666666666666
August Gade (F),August Gade,F,1,0.0203703703703703
Bettina Palle (I),Bettina Palle,I,0,-0.0611111111111111
Bianca Vitting (Ø),Bianca Vitting,Ø,1,-0.1657407407407407
Birgit Bech (Ø),Birgit Bech,Ø,1,-0.0298611111111111
Bjarke Bisgaard Yolal (F),Bjarke Bisgaard Yolal,F,1,-0.1196969696969696
Bjarne Henriksen (A),Bjarne Henriksen,A,0,-0.0611111111111111
Brian Holm (C),Brian Holm,C,0,-0.1864583333333333
Britt Dam (A),Britt Dam,A,1,-0.2074074074074074
Carina Høedt (C),Carina Høedt,C,1,-0.0126984126984127
Carsten Nørballe (F),Carsten Nørballe,F,0,-0.0611111111111111
Caspar Stefani (C),Caspar Stefani,C,1,-0.1518518518518518
Casper Pedersen (V),Casper Pedersen,V,1,-0.0881944444444444
Cecilie Fisker (M),Cecilie Fisker,M,1,-0.2154761904761905
Christian Ohm-Hieronymussen (V),Christian Ohm-Hieronymussen,V,0,-0.0523809523809523
Christina Sylvest-Noer (A),Christina Sylvest-Noer,A,1,-0.1239583333333333
Christine Jørnø Vestergaard (A),Christine Jørnø Vestergaard,A,0,-0.0611111111111111
Claude Teisen-Simony (T),Claude Teisen-Simony,T,0,-0.0466517857142857
Claus Wagenblast-Franck (C),Claus Wagenblast-Franck,C,3,-0.0638888888888889
Daniel Panduro (Ø),Daniel Panduro,Ø,1,-0.1177083333333333
David Michael Gerschwald (O),David Michael Gerschwald,O,1,-0.024074074074074
Ebbe Wendt Lorenzen (A),Ebbe Wendt Lorenzen,A,1,-0.1866666666666666
Elias Lederhaas (C),Elias Lederhaas,C,3,-0.1066666666666666
Else Guldager (Ø),Else Guldager,Ø,1,-0.1243589743589743
Else Marie Thorgaard (C),Else Marie Thorgaard,C,0,-0.0955128205128204
Emil Samaras (Ø),Emil Samaras,Ø,0,-0.1155024509803921
Eva Bechmann (Æ),Eva Bechmann,Æ,1,-0.073030303030303
Fasael Rehman (C),Fasael Rehman,C,1,-0.2076388888888888
Frederik Tuxen Bjerrum (I),Frederik Tuxen Bjerrum,I,1,-0.1213541666666666
Freja Fokdal (B),Freja Fokdal,B,1,0.0633333333333333
Gabriel Egholm Rasmussen (Ø),Gabriel Egholm Rasmussen,Ø,1,-0.1020833333333333
Helle Sjelle (M),Helle Sjelle,M,1,-0.2188888888888889
Henrik Karl Hierl (I),Henrik Karl Hierl,I,0,-0.169047619047619
Henrik Kragelund (C),Henrik Kragelund,C,0,-0.1518518518518518
Isabel Havndrup Aackmann (B),Isabel Havndrup Aackmann,B,1,-0.0838888888888888
Jacob Rosenberg (C),Jacob Rosenberg,C,1,0.1191666666666666
Jakob Ørsted (Ø),Jakob Ørsted,Ø,0,-0.0611111111111111
Jan E. Jørgensen (V),Jan E. Jørgensen,V,4,-0.1466666666666666
Janek Balling Majewicz (A),Janek Balling Majewicz,A,0,-0.0611111111111111
Jens Otto Jarløv (B),Jens Otto Jarløv,B,0,-0.0199134199134199
Jens-Christian Navarro Poulsen (B),Jens-Christian Navarro Poulsen,B,0,-0.0611111111111111
Jesper Jerry Schou Nielsen (F),Jesper Jerry Schou Nielsen,F,0,-0.0611111111111111
Jesper Ronald Jensen (C),Jesper Ronald Jensen,C,1,-0.1416666666666666
Jimmy Streit (C),Jimmy Streit,C,1,-0.2172619047619048
Joachim Høyrup (V),Joachim Høyrup,V,1,-0.2470238095238095
Joseph Favilla (I),Joseph Favilla,I,0,-0.074074074074074
Julius Lundsteen (F),Julius Lundsteen,F,3,-0.0476190476190476
Karsten Lauritsen (B),Karsten Lauritsen,B,0,-0.0611111111111111
Kim Christiansen (A),Kim Christiansen,A,0,-0.0597222222222222
Kim Hjerrild (Å),Kim Hjerrild,Å,0,-0.1505208333333333
Klaus Eskelund (C),Klaus Eskelund,C,3,-0.0611111111111111
Kristoffer Appel (A),Kristoffer Appel,A,1,-0.046031746031746
Kurt Pii (M),Kurt Pii,M,1,-0.0464912280701754
Lars Berg Andersen (I),Lars Berg Andersen,I,1,-0.2047619047619047
Laura Lindahl (C),Laura Lindahl,C,1,-0.1866666666666666
Laurids Kristian Fahl (Ø),Laurids Kristian Fahl,Ø,0,-0.0611111111111111
Line Østergaard Olsen (I),Line Østergaard Olsen,I,0,-0.0611111111111111
Lone Loklindt (B),Lone Loklindt,B,1,-0.1180555555555555
Lotte Kofoed (F),Lotte Kofoed,F,1,-0.1229166666666666
Mads Freund (M),Mads Freund,M,3,-0.1239583333333333
Mads Simonsen (A),Mads Simonsen,A,3,-0.0611111111111111
Mads-Emil Gaardsvig Christensen (Ø),Mads-Emil Gaardsvig Christensen,Ø,0,-0.0611111111111111
Maj-Britt Mathiesen (C),Maj-Britt Mathiesen,C,0,-0.0611111111111111
Malene Sandfeld (V),Malene Sandfeld,V,1,-0.0614583333333333
Malou Ananiassen (C),Malou Ananiassen,C,1,-0.1083333333333333
Malou Astrup (A),Malou Astrup,A,0,-0.0611111111111111
Malte Mathies Løcke (A),Malte Mathies Løcke,A,3,-0.0546474358974359
Marie Budtz Andersen (C),Marie Budtz Andersen,C,0,-0.1518518518518518
Martin Skytte (D),Martin Skytte,D,0,-0.0611111111111111
Matthew Dawids (O),Matthew Dawids,O,0,-0.103030303030303
Merete Winther Hildebrandt (C),Merete Winther Hildebrandt,C,1,0.0428571428571428
Mette Bram (Å),Mette Bram,Å,1,-0.0641025641025641
Mia Michelle Haugaard (Ø),Mia Michelle Haugaard,Ø,1,-0.1083333333333333
Michella Lescher (F),Michella Lescher,F,1,-0.2824652777777778
Nikolaj Bøgh (C),Nikolaj Bøgh,C,0,-0.2493055555555555
Nikolaj Rachdi Bührmann (F),Nikolaj Rachdi Bührmann,F,0,0.0148148148148148
Nina Wendt (F),Nina Wendt,F,0,-0.0611111111111111
Palle Bisgaard (Ø),Palle Bisgaard,Ø,1,-0.1333333333333333
Peder Brandhof (C),Peder Brandhof,C,0,-0.0611111111111111
Per Ludvigsen (V),Per Ludvigsen,V,0,-0.0611111111111111
Per Odin Thiim Thim (E),Per Odin Thiim Thim,E,1,-0.0476190476190476
Per Paludan Hansen (V),Per Paludan Hansen,V,0,-0.0611111111111111
Per Toni Hansen (B),Per Toni Hansen,B,0,-0.1416666666666666
Peter Kristiansen (F),Peter Kristiansen,F,0,-0.0611111111111111
Pil Yildiz (Ø),Pil Yildiz,Ø,1,-0.1828125
Preben Boldt (V),Preben Boldt,V,1,-0.0458333333333333
Rami Zouzou (C),Rami Zouzou,C,1,-0.0407407407407407
Rasmus Edelberg (A),Rasmus Edelberg,A,3,-0.131060606060606
Rasmus Holme (Ø),Rasmus Holme,Ø,3,-0.2416666666666667
René Hülz (F),René Hülz,F,0,-0.0611111111111111
Rie Jakobsen (C),Rie Jakobsen,C,1,-0.0833333333333333
Rikke Alice Bille (B),Rikke Alice Bille,B,1,-0.1666666666666666
Rosa Agersnap Bone (Ø),Rosa Agersnap Bone,Ø,1,-0.1805322128851541
Rune Rummel (A),Rune Rummel,A,0,-0.1239583333333333
Silas T. H. Rasmussen (C),Silas T. H. Rasmussen,C,4,-0.0523809523809523
Sine Heltberg (A),Sine Heltberg,A,0,-0.1333333333333333
Sofie Kümpel (A),Sofie Kümpel,A,0,-0.0611111111111111
Susanne Bonfils (V),Susanne Bonfils,V,0,-0.0611111111111111
Susanne Nørlund Munk (A),Susanne Nørlund Munk,A,1,-0.1366666666666666
Søren Bach (V),Søren Bach,V,0,-0.0611111111111111
Søren Brønchenburg (C),Søren Brønchenburg,C,2,-0.0098484848484848
Søren Dahlstrøm (A),Søren Dahlstrøm,A,2,0.0074074074074074
Søren Frost (V),Søren Frost,V,2,-0.1864583333333333
Thomas Frank (A),Thomas Frank,A,3,-0.1416666666666666
Thomas Jean Nielsen (M),Thomas Jean Nielsen,M,1,-0.1098958333333333
Thomas Mølgaard Andersen (Å),Thomas Mølgaard Andersen,Å,0,-0.0611111111111111
Tilde Nordin Dræger (Ø),Tilde Nordin Dræger,Ø,1,-0.0523809523809523
Tim Tue Wodskou (Å),Tim Tue Wodskou,Å,1,-0.1495614035087719
Tina Jacobsen (C),Tina Jacobsen,C,0,-0.0611111111111111
Tomas Munch Nielsen (F),Tomas Munch Nielsen,F,1,-0.0611111111111111
Tone Høybye (Ø),Tone Høybye,Ø,1,-0.1179487179487179
Torben Grinderslev (C),Torben Grinderslev,C,0,-0.0611111111111111
Vibeke Westh (A),Vibeke Westh,A,1,-0.0872222222222222
